datetime,city,state,country,shape,duration_seconds,comments,date_posted,latitude,longitude,date,time,duration_minutes,duration_hours,state_new,new_state
30/10/2011 18:00,sydney (australia),unknown,au,light,120,Hovering white light seen in Sydney&#44 Australia,12/12/2011,-33.861481,151.205475,30/10/2011,18:00:00,2,0.033333333,24,New South Wales
31/10/2001 22:00,biloela (australia),unknown,au,light,0,It was there about 9pm to 11pm hoving the woods abuot distance 2000metres and after 11pm it had disapear&#33&#33&#33&#33&#33&#33&#33&#33&#33,20/11/2001,-24.416667,150.5,31/10/2001,22:00:00,0,0,25,Queensland
3/10/2013 22:00,cue (western australia) (australia),wa,au,light,30,Bright flashing moving light stops moving then loops.,14/10/2013,-27.42395,117.897392,3/10/2013,22:00:00,0.5,0.008333333,26,Western Australia
5/10/2006 22:00,ipswich (near) (australia),unknown,au,disk,20,((HOAX??))  saucer shape with three golwing domes.,30/10/2006,-27.616667,152.766667,5/10/2006,22:00:00,0.333333333,0.005555556,27,Queensland
6/10/1978 21:45,nuriootpa (australia),unknown,au,fireball,45,Fireball inclour size  approximately 500 yards across&#44 landed and vertically lifted out of sight,16/08/2002,-34.46825,138.997665,6/10/1978,21:45:00,0.75,0.0125,28,South Australia
6/10/2012 10:45,emerald (australia),unknown,au,light,900,12 to 14 orange lights travelling from west to south.,30/10/2012,-37.931671,145.440933,6/10/2012,10:45:00,15,0.25,29,Victoria
7/10/2003 1:30,perth (western australia),unknown,au,triangle,1,1 mile away on the other side of the Canning River at 1:30am,31/10/2003,-31.95224,115.861397,7/10/2003,1:30:00,0.016666667,0.000277778,30,Western Australia
9/10/1992 12:00,perth (western australia),unknown,au,triangle,30,i saw three traingular ufos&#44 the one in the middle was bigger than the other ones. they didn&#39t stay for very long. me and me brother we,16/12/2005,-31.95224,115.861397,9/10/1992,12:00:00,0.5,0.008333333,31,Western Australia
10/01/1977 11:00,adelaide (south australia),unknown,au,disk,30,Several people  witnessed positive UFO on clear day.,7/10/2003,-34.928661,138.598633,10/01/1977,11:00:00,0.5,0.008333333,32,South Australia
10/01/2003 21:09,busselton (australia),unknown,au,light,300,3 light moviving erractically across the sky,21/03/2003,-33.652489,115.345497,10/01/2003,21:09:00,5,0.083333333,33,Western Australia
10/01/2006 3:25,bairnsdale (victoria&#44 australia),unknown,au,circle,180,East Gippsland &#44 Australia Sighting of a strong beam of light at ground level &#44 then assending into the sky .,14/02/2006,-37.822891,147.610413,10/01/2006,3:25:00,3,0.05,34,Victoria
10/01/2006 19:30,sydney (australia),unknown,au,circle,300,we saw an circular object flashing a light at us,30/10/2006,-33.861481,151.205475,10/01/2006,19:30:00,5,0.083333333,35,New South Wales
10/01/2007 20:30,sydney (australia),unknown,au,light,240,Bright light moves North to South quickly in the sky over Sydney,1/02/2007,-33.861481,151.205475,10/01/2007,20:30:00,4,0.066666667,36,New South Wales
10/01/2011 17:15,sydney (australia),unknown,au,light,10,white lights dipping&#44 diving over Sydney,31/01/2011,-33.861481,151.205475,10/01/2011,17:15:00,0.166666667,0.002777778,37,New South Wales
10/11/1998 0:30,belair  (south australia),unknown,au,disk,360,The disc was acompanyed by two other craft before it flew off at high speed and it was a reflective silver with lights around the rim,20/11/2001,-35,138.633333,10/11/1998,0:30:00,6,0.1,38,South Australia
11/11/2000 0:00,sydney (nsw&#44 australia),unknown,au,other,600,i was sitting down in a meadow&#44 when i looked up and saw the stars when suddenly one of the stars i was looking at changed&#44,28/04/2001,-33.861481,151.205475,11/11/2000,0:00:00,10,0.166666667,39,New South Wales
11/11/2004 2:00,brisbane (qld&#44 australia),unknown,au,circle,10,It was a huge black round thing and it was leaving a green trail of smoke behind it.  It made a buzzing sound.,3/12/2004,-27.47101,153.024292,11/11/2004,2:00:00,0.166666667,0.002777778,40,Queensland
11/11/2013 22:30,hillston (nsw)(australia),unknown,au,unknown,900,Bright star-like light.  ((NUFORC Note:  Possible sighting of Venus??  PD)),11/11/2013,-33.480942,145.534348,11/11/2013,22:30:00,15,0.25,41,New South Wales
11/01/1997 23:30,brisbane (qld&#44 australia),unknown,au,circle,3600,Strange lights over Brisbane,5/08/2001,-27.47101,153.024292,11/01/1997,23:30:00,60,1,42,Queensland
1/11/2002 3:34,melbourne (vic&#44 australia),unknown,au,triangle,600,the triangle shot across the sky with a huge roaring sound,22/04/2003,-37.813938,144.963425,1/11/2002,3:34:00,10,0.166666667,43,Victoria
1/11/2002 23:50,perth (western australia),unknown,au,rectangle,90,The object seems to involve 3 lights. 2 at either side of the object which are always visible and turned red for about 10 seconds. The,9/11/2002,-31.95224,115.861397,1/11/2002,23:50:00,1.5,0.025,44,Western Australia
11/01/2003 21:00,pemberton (western australia),unknown,au,unknown,0.5,Brief flash of bright light in southern sky 60 degrees above the horizon.,21/03/2003,-34.443111,116.036888,11/01/2003,21:00:00,0.008333333,0.000138889,45,Western Australia
1/11/2004 2:36,denman (australia),unknown,au,egg,600,Green&#44 egg shaped glowing objects in sky. Hovering around southern cross star constelation. We were not under the influence of any ille,2/11/2004,-32.387878,150.689346,1/11/2004,2:36:00,10,0.166666667,46,New South Wales
11/01/2010 4:00,dublin (south australia),unknown,au,light,45,Bright orange light moving too fast to be a satellite or plane.,14/02/2010,-34.45,138.35,11/01/2010,4:00:00,0.75,0.0125,47,South Australia
11/01/2010 22:30,yandoit (near daylesford&#44 vic) (australia),unknown,au,light,120,Nights sky&#44 white light wobbled&#44 expanded into a bright lit up cross shape and then flew away.,14/02/2010,-37.2,144.1,11/01/2010,22:30:00,2,0.033333333,48,Victoria
1/11/2013 15:45,melbourne (australia),unknown,au,oval,60,Black object in picture.,24/04/2014,-37.813938,144.963425,1/11/2013,15:45:00,1,0.016666667,49,Victoria
11/01/2013 21:00,perth (australia),unknown,au,disk,10,UFO seen over Western Australian Skies.,30/08/2013,-31.95224,115.861397,11/01/2013,21:00:00,0.166666667,0.002777778,50,Western Australia
12/11/2001 7:00,sydney (nsw&#44 australia),unknown,au,disk,23,It was a grey saucery shaped object hurdling to Earht however i only saw a glimpse of it.,5/12/2001,-33.861481,151.205475,12/11/2001,7:00:00,0.383333333,0.006388889,51,New South Wales
12/11/2002 20:00,adelaide (south australia),unknown,au,light,15,three slow moving crafts all traveling in the same direction(north) and one that took off so fast it left a blue trail that lasted for,16/11/2002,-34.928661,138.598633,12/11/2002,20:00:00,0.25,0.004166667,52,South Australia
12/11/2005 10:45,wagga wagga (nsw&#44 australia),unknown,au,formation,600,unexplained light formation,16/12/2005,-35.125771,147.353745,12/11/2005,10:45:00,10,0.166666667,53,New South Wales
12/11/2013 21:30,mount isa (australia),unknown,au,sphere,1209600,Orange orb over mount Isa.  ((NUFORC Note:  Possible sighting of Venus&#44 we sspect.  PD)),20/11/2013,-20.725229,139.497269,12/11/2013,21:30:00,20160,336,54,Queensland
13/11/2004 1:00,mindarie (australia),unknown,au,oval,10,We saw the 2 objects and they were shining an oval then they shot across the sky very fast.,3/12/2004,-34.816667,140.216667,13/11/2004,1:00:00,0.166666667,0.002777778,55,South Australia
15/11/1990 23:00,perth (western australia),unknown,au,light,180,Two lights travelling toward each other.,16/11/2002,-31.95224,115.861397,15/11/1990,23:00:00,3,0.05,56,Western Australia
15/11/2001 1:45,lochiel (australia),unknown,au,light,0,Hello  I like to report a ufo sighting on the dirt roads late at night near the town of locheil near snowtown in South Australia. It ha,12/12/2009,-33.933333,138.166667,15/11/2001,1:45:00,0,0,57,South Australia
15/11/2003 0:00,moe (australia),unknown,au,light,300,a moving object seen in the distant stars,2/03/2004,-38.17828,146.260986,15/11/2003,0:00:00,5,0.083333333,58,Victoria
15/11/2005 0:30,brisbane (australia),unknown,au,triangle,15,it was really dark and there was 2 UFOs in the sky&#44 then my car went dead for around 15 sec&#44 when it came back on&#44 it had gone,1/02/2007,-27.47101,153.024292,15/11/2005,0:30:00,0.25,0.004166667,59,Queensland
16/11/2002 14:56,halls gap (near melbourne) (nsw&#44 australia),unknown,au,sphere,30,Metallic sphere travelling West to East and the vertical at great speed,20/11/2002,-37.136631,142.520462,16/11/2002,14:56:00,0.5,0.008333333,60,Victoria
16/11/2003 11:05,melbourne (vic&#44 australia),unknown,au,disk,60,bright glowwing yellow lights,26/11/2003,-37.813938,144.963425,16/11/2003,11:05:00,1,0.016666667,61,Victoria
16/11/2013 19:30,perth (australia),unknown,au,sphere,300,Paranormal activity prior and after all events Six in total.,5/12/2013,-31.95224,115.861397,16/11/2013,19:30:00,5,0.083333333,62,Western Australia
17/11/2009 21:56,canberra (australia),unknown,au,diamond,7,A bright stationary star with a golden glow&#44 then moving from south to north at a quick pace for 7seconds. translucent then dissapeared,12/12/2009,-35.27603,149.13435,17/11/2009,21:56:00,0.116666667,0.001944444,63,Australian Capital Territory
18/11/2006 10:00,melbourne (australia),unknown,au,circle,32,A &quot;dot&quot; shaped object shining sharply and moving with a slow and steady pace,7/12/2006,-37.813938,144.963425,18/11/2006,10:00:00,0.533333333,0.008888889,64,Victoria
1/01/1980 19:00,yorkeys knob (north of cairns) (qld&#44 australia)),unknown,au,other,600,1 slow moving UFO rising from East (ocean) to West&#44 on straight path&#44 rectangular/cylindrical shape.,20/06/2005,-16.816667,145.716667,1/01/1980,19:00:00,10,0.166666667,65,Queensland
1/01/1997 1:30,perth (western australia),unknown,au,triangle,3600,u.f.o. over suberbia,23/12/2002,-31.95224,115.861397,1/01/1997,1:30:00,60,1,66,Western Australia
1/01/1999 20:00,leeton (australia),unknown,au,circle,30,Nothing man made could of flewn through the sky like this object.,24/01/2014,-34.551048,146.404831,1/01/1999,20:00:00,0.5,0.008333333,67,New South Wales
1/01/2001 0:25,brisbane (qld&#44 australia),unknown,au,disk,120,single object made up of two clusters of lights&#44visible only on video&#44no sound&#44at 3000/5000 feet travelling very fast,18/02/2001,-27.47101,153.024292,1/01/2001,0:25:00,2,0.033333333,68,Queensland
1/01/2005 20:45,toowoomba (australia),unknown,au,formation,30,formation of lights appeared out of nowhere high above us,11/01/2005,-27.56056,151.953857,1/01/2005,20:45:00,0.5,0.008333333,69,Queensland
1/01/2008 0:00,perth (australia),unknown,au,light,1200,Object is a bright yellow and a bit orange light at high attitude,21/01/2008,-31.95224,115.861397,1/01/2008,0:00:00,20,0.333333333,70,Western Australia
1/01/2011 11:15,rhodes (sydney) (australia),unknown,au,changing,6,silvery white object &#44 oval like shape opened out&#44 rotated&#44 closed in and disappeared.,5/01/2011,-33.833333,151.083333,1/01/2011,11:15:00,0.1,0.001666667,71,New South Wales
20/11/1997 19:00,melbourne (vic&#44 australia),unknown,au,cone,600,Driving home with freinds&#44 saw unusual craft (real obvious UFO) hovering in a field&#44 stopped to look at/verify what it might be...,28/08/2002,-37.813938,144.963425,20/11/1997,19:00:00,10,0.166666667,72,Victoria
20/11/2005 20:00,cairns (australia),unknown,au,light,900,three lighted object hovering down the street,16/12/2005,-16.92304,145.766251,20/11/2005,20:00:00,15,0.25,73,Queensland
20/11/2005 22:35,melbourne (australia),unknown,au,light,2700,3 lighted spherical UFO seen over the eastern suburbs of Melbourne Australia.,16/12/2005,-37.813938,144.963425,20/11/2005,22:35:00,45,0.75,74,Victoria
2/11/1997 22:20,broken hill (australia),unknown,au,light,1200,Observed pulsating set of 4 rectangular lights of white and red&#44 50 feet from the ground never moving.,23/12/2002,-31.961729,141.459976,2/11/1997,22:20:00,20,0.333333333,75,New South Wales
2/11/1998 19:00,adelaide (south australia),unknown,au,circle,60,Not your typical sighting&#44 a black stealth machine gliding past&#44 giving me a view of what I knew existed. Wow.,22/02/2002,-34.928661,138.598633,2/11/1998,19:00:00,1,0.016666667,76,South Australia
2/11/2001 8:35,sydney (righton&#44 botany bay) (nsw&#44 australia),unknown,au,disk,120,Near collison with vehicle disc bright white lifted car whislt waiting traffic lights Sydney Australia,16/04/2005,-33.861481,151.205475,2/11/2001,8:35:00,2,0.033333333,77,New South Wales
2/11/2001 9:00,baranduda (australia),unknown,au,unknown,3,Light Stream with Multiple objects.,11/08/2004,-36.2,146.966667,2/11/2001,9:00:00,0.05,0.000833333,78,Victoria
12/01/2004 21:22,canberra (australia),unknown,au,circle,60,UFO seen in the night sky by father and son in Canberra - Australia,24/05/2005,-35.27603,149.13435,12/01/2004,21:22:00,1,0.016666667,79,Australian Capital Territory
22/11/2000 19:50,wollongong (nsw&#44 australia),unknown,au,fireball,600,i saw a comet shaped fire ball in the sky moving at an extraordinary speed.,2/12/2000,-34.424,150.893448,22/11/2000,19:50:00,10,0.166666667,80,New South Wales
22/11/2002 13:00,canberra (australia),unknown,au,disk,60,SCARY&#33,23/12/2002,-35.27603,149.13435,22/11/2002,13:00:00,1,0.016666667,81,Australian Capital Territory
23/11/2001 21:30,melbourne (vic&#44 australia),unknown,au,light,1800,Four lights were circling around in sky&#44 proved fact that lights were not beams from ground&#44 as clouds blocked the lights. UFO.,5/12/2001,-37.813938,144.963425,23/11/2001,21:30:00,30,0.5,82,Victoria
24/11/2000 23:15,melbourne (oakleigh) (vic&#44 australia),unknown,au,triangle,240,street lights in the area swiched off while the obect was over head&#44they came back on as soon as the object departed.,2/12/2000,-37.813938,144.963425,24/11/2000,23:15:00,4,0.066666667,83,Victoria
26/11/1997 22:30,campbelltown (australia),unknown,au,other,3600,UFO flew over neighbours house with object flying inside craft. Ufo&#39s play tag with each other.,28/04/2001,-37.2,143.95,26/11/1997,22:30:00,60,1,84,Victoria
27/11/2010 12:00,brisbane (australia),unknown,au,circle,5,The U.F.O was seen flying past&#44 then dissapering. It was rather large and fast moving. It was grey/silver and had what looked like land,17/12/2011,-27.47101,153.024292,27/11/2010,12:00:00,0.083333333,0.001388889,85,Queensland
27/11/2011 16:07,alice springs (australia),unknown,au,other,720,2 UFO&#39s in Central Australia with separate red flash of lights,12/12/2011,-23.697479,133.883621,27/11/2011,16:07:00,12,0.2,86,Northern Territory
28/11/2002 10:30,perth (western australia),unknown,au,light,300,Four objects seen in daylight. Looked like stars&#44 were stationary and moved as a formation.,23/12/2002,-31.95224,115.861397,28/11/2002,10:30:00,5,0.083333333,87,Western Australia
28/11/2010 17:30,mount isa (australia),unknown,au,triangle,300,triangle lights over mount isa during carols by candlelight,5/01/2011,-20.725229,139.497269,28/11/2010,17:30:00,5,0.083333333,88,Queensland
29/11/1998 12:00,yallingup (western australia),unknown,au,other,0,Recently &#44 on a holiday down in the south west of Western Australia &#44 my friends were swimming at Yallingup beach &#44 a local town in the,22/01/2000,-33.65,115.033333,29/11/1998,12:00:00,0,0,89,Western Australia
13/01/2000 23:30,brisbane (qld&#44 australia),unknown,au,fireball,5,OK&#44 this&#44 I&#39m sure wasn&#39t a UFO - but I found a link&#44 and I thought I&#39d share it anyway... I had just got home and was locking my car d,11/01/2002,-27.47101,153.024292,13/01/2000,23:30:00,0.083333333,0.001388889,90,Queensland
3/11/2001 22:00,melbourne (vic&#44 australia),unknown,au,other,0,ufo&#39s near melbourne with flickering lights,20/11/2001,-37.813938,144.963425,3/11/2001,22:00:00,0,0,91,Victoria
4/11/1970 12:00,boggabri (australia),unknown,au,disk,0,Mystery disk siting at on property called BUNGALOW Aust. 11 miles out of Boggabri.,27/04/2003,-30.70953,150.041214,4/11/1970,12:00:00,0,0,92,New South Wales
4/11/2003 22:52,adelaide (south australia),unknown,au,light,900,A bright white light with purple/blue glow.  Got Big.,8/11/2003,-34.928661,138.598633,4/11/2003,22:52:00,15,0.25,93,South Australia
14/01/2006 23:00,gold coast (australia),unknown,au,circle,120,At first I thought it was the moon and the small large number of clouds were being blown by a fast wind in an easterly direction. Then,14/02/2006,-28.00029,153.430878,14/01/2006,23:00:00,2,0.033333333,94,Queensland
14/01/2013 21:30,canberra (australia),unknown,au,triangle,5,A large black craft with V formation dull glowing lights cruising silently.,4/02/2013,-35.27603,149.13435,14/01/2013,21:30:00,0.083333333,0.001388889,95,Australian Capital Territory
15/01/1981 13:00,canberra (australia),unknown,au,disk,3600,silver round stationary 50&#44000 feet 1 hour cesna in size robot in appearence 1981 canberra australia 6 saw 1pm clear day.,14/02/2006,-35.27603,149.13435,15/01/1981,13:00:00,60,1,96,Australian Capital Territory
15/01/1993 20:00,brisbane (qld&#44 australia),unknown,au,formation,60,Bright white lights in the sky in formation of square. 9 lights in 3 rows of 3.,28/08/2002,-27.47101,153.024292,15/01/1993,20:00:00,1,0.016666667,97,Queensland
15/01/1999 3:30,melbourne (tullarmarine) (vic&#44 australia),unknown,au,light,15,light source flying very fast with no sound to be heard,2/12/2000,-37.813938,144.963425,15/01/1999,3:30:00,0.25,0.004166667,98,Victoria
5/11/2003 11:30,esperance (australia),unknown,au,teardrop,20,White spot&#44 moving in one direction and at a slow pace.   No defining shape&#44 just a spot.,19/12/2003,-33.86013,121.882591,5/11/2003,11:30:00,0.333333333,0.005555556,99,Western Australia
15/01/2004 13:45,melbourne (vic&#44 australia),unknown,au,oval,0,Home Council refers photograph to government agencies An employee of this major municipality during his routine work as a traffic engin,31/01/2004,-37.813938,144.963425,15/01/2004,13:45:00,0,0,100,Victoria
15/01/2004 14:00,beveridge (australia),unknown,au,disk,0,Vision of UFO exposed on digital photograph&#44 part blur suggested high speed&#44 not sighted by photographer or companions at time.,31/01/2004,-37.483333,144.983333,15/01/2004,14:00:00,0,0,101,Victoria
15/01/2005 23:00,caboolture (australia),unknown,au,light,5,A bright light flying very fast across the night sky heading in the east direction,19/01/2005,-27.08465,152.951096,15/01/2005,23:00:00,0.083333333,0.001388889,102,Queensland
15/01/2007 22:00,sydney (australia),unknown,au,circle,30,a circle UFO with green&#44red&#44 blue light&#44 about 2miles away in sky,1/02/2007,-33.861481,151.205475,15/01/2007,22:00:00,0.5,0.008333333,103,New South Wales
6/11/2005 20:25,sydney (australia),unknown,au,circle,6,Bright White cigar shaped object with a long tail of Bright white sparks was clearly seen in twilight conditions&#44decent was similar tra,16/12/2005,-33.861481,151.205475,6/11/2005,20:25:00,0.1,0.001666667,104,New South Wales
6/11/2009 22:00,perth (australia),unknown,au,light,14400,Unusual lights&#44 strobing of unusual colours&#44 mimicing a plane to disappearing and appearing.  ((NUFORC Note:  Twinkling stars??  PD)),12/12/2009,-31.95224,115.861397,6/11/2009,22:00:00,240,4,105,Western Australia
17/01/1997 2:00,sydney (nsw&#44 australia),unknown,au,cylinder,600,A long&#44 rotating tube like object&#44 covered with small windows. Perhaps 50m long. With two antennae like objects protruding from the fro,7/03/1998,-33.861481,151.205475,17/01/1997,2:00:00,10,0.166666667,106,New South Wales
17/01/2003 20:45,sydney (nsw&#44 australia),unknown,au,changing,120,UFO changing colour&#44 direction and maybe shape.,21/03/2003,-33.861481,151.205475,17/01/2003,20:45:00,2,0.033333333,107,New South Wales
8/11/2010 0:00,darwin (australia),unknown,au,unknown,240,Flashing white light roughly same position blinking about 30 seconds apart 5 or 6 times before moving further away from the planet,21/11/2010,-12.45722,130.836639,8/11/2010,0:00:00,4,0.066666667,108,Northern Territory
19/01/2005 0:45,melbourne (australia),unknown,au,light,600,3 bright lights seen overheard at different times above Port Phillip bay&#44 Australia. Near Southern Cross and Big Dipper.,14/02/2006,-37.813938,144.963425,19/01/2005,0:45:00,10,0.166666667,109,Victoria
19/01/2009 4:00,gosford (australia),unknown,au,light,60,BRIGHT LIGHT FALLS FROM THE SKY,19/03/2009,-33.4244,151.343994,19/01/2009,4:00:00,1,0.016666667,110,New South Wales
19/01/2011 22:35,geelong (australia),unknown,au,light,60,faint light dropping towards the horizon then shooting backwards and dissapearing.,31/01/2011,-38.153461,144.358093,19/01/2011,22:35:00,1,0.016666667,111,Victoria
20/01/2003 15:30,byron bay (australia),unknown,au,sphere,420,six spheres emerge from cylindrical cigar shaped cloud,4/03/2003,-28.64201,153.611938,20/01/2003,15:30:00,7,0.116666667,112,New South Wales
20/01/2004 20:30,bathurst (australia),unknown,au,rectangle,30,Medium paced object  moving accross the sky with a constant length trail of light following behind it and the UFOeventually dissapears.,24/05/2005,-33.417358,149.581284,20/01/2004,20:30:00,0.5,0.008333333,113,New South Wales
10/12/1976 19:30,sydney (nsw&#44 australia),unknown,au,light,3,Two objects of light shoot silently across the night sky.,23/12/2002,-33.861481,151.205475,10/12/1976,19:30:00,0.05,0.000833333,114,New South Wales
11/12/2002 4:00,sydney (nsw&#44 australia),unknown,au,changing,900,Four lights&#44 one approached me&#44 then retreated to group&#44 merged and then flew away.,23/12/2002,-33.861481,151.205475,11/12/2002,4:00:00,15,0.25,115,New South Wales
1/12/1992 20:00,casterton (victoria) (australia),unknown,au,oval,60,Driving I saw something in the sky&#44 I looked up abit&#44 then it sort of flashed away&#44 and was gone.,19/09/2002,-37.584888,141.402969,1/12/1992,20:00:00,1,0.016666667,116,Victoria
1/12/2003 16:24,melbourne (vic&#44 australia),unknown,au,formation,600,formation of disc shaped crafts in australia,9/12/2003,-37.813938,144.963425,1/12/2003,16:24:00,10,0.166666667,117,Victoria
12/12/1991 23:30,wollongong (nsw&#44 australia),unknown,au,light,240,two star light  UFO&#39s travelling with my car on either side and took off in a unisin in a spiral formation,5/08/2001,-34.424,150.893448,12/12/1991,23:30:00,4,0.066666667,118,New South Wales
14/12/1998 19:30,albany (western australia),unknown,au,flash,600,Looking up at the sky for Meteors and Come across a real Bright Star but was moving and had red flashing light on it then disserperd to,28/01/1999,-35.003101,117.865952,14/12/1998,19:30:00,10,0.166666667,119,Western Australia
14/12/2012 23:50,brisbane (australia),unknown,au,other,300,Flicker&#44 vanish&#44 reappear&#44 then hit warp speed ... its like they were show boating.. now u see me. now u dont.,20/12/2012,-27.47101,153.024292,14/12/2012,23:50:00,5,0.083333333,120,Queensland
15/12/2002 12:00,caloundra (australia),unknown,au,sphere,5,A spinning sphere shaped object observed in clear blue sky accelerated rapidly away at very high speed,17/09/2003,-26.797091,153.137711,15/12/2002,12:00:00,0.083333333,0.001388889,121,Queensland
15/12/2009 4:42,adelaide (australia),unknown,au,light,300,Low flying light,14/02/2010,-34.928661,138.598633,15/12/2009,4:42:00,5,0.083333333,122,South Australia
15/12/2013 20:00,townsville (australia),unknown,au,light,180,Large blue light seen sweeping over Townsville in fast&#44 erratic movements.,30/01/2014,-19.26639,146.805695,15/12/2013,20:00:00,3,0.05,123,Queensland
16/12/2003 22:30,moree (australia),unknown,au,formation,240,3 individual lights moving in a triangular formation across the Nothern skies of Australia,19/12/2003,-29.46278,149.841568,16/12/2003,22:30:00,4,0.066666667,124,New South Wales
